name,latitude,longitude,address,star_rating,detail_url
"Opera Blue Hotel in Gouvia, Corfu",39.653572,19.842462,"Corfu, Gouvia",4,https://www.greeka.com/ionian/corfu/hotels/location-gouvia/opera-blue/
"Paradise Hotel in Gouvia, Corfu",39.65612523564432,19.837118983268738,"Corfu, Gouvia",3,https://www.greeka.com/ionian/corfu/hotels/location-gouvia/paradise/
"Villa Pelekas Villas in Pelekas, Corfu",39.597121,19.818813,"Corfu, Pelekas",,https://www.greeka.com/ionian/corfu/hotels/location-pelekas/villa-pelekas/
"Olga Hotel in Agios Stefanos Avliotes, Corfu",39.75710661872119,19.64659753793446,"Corfu, Agios Stefanos Avliotes",1,https://www.greeka.com/ionian/corfu/hotels/location-agios-stefanos-avliotes/olga/
"Pegasus Hotel in Roda, Corfu",39.78632339499139,19.786921493946274,"Corfu, Roda",3,https://www.greeka.com/ionian/corfu/hotels/location-roda/pegasus/
"Prassino Nissi Rooms in Moraitika, Corfu",39.489734586126204,19.926203191239438,"Corfu, Moraitika",,https://www.greeka.com/ionian/corfu/hotels/location-moraitika/prassino-nissi/
"Telesilla Hotel in Kontokali, Corfu",39.64505139610231,19.856731295585632,"Corfu, Kontokali",3,https://www.greeka.com/ionian/corfu/hotels/location-kontokali/telesilla/
"Sun Sea Side Apartments in Benitses, Corfu",39.54488,19.912183,"Corfu, Benitses",,https://www.greeka.com/ionian/corfu/hotels/location-benitses/sun-seaside/
"Villa Panorea Villas in Moraitika, Corfu",39.483009465243605,19.927942603826523,"Corfu, Moraitika",,https://www.greeka.com/ionian/corfu/hotels/location-moraitika/villa-panorea/
"Sebastian's Family Apartments in Agios Gordios, Corfu",39.54653446491543,19.852175563573837,"Corfu, Agios Gordios",,https://www.greeka.com/ionian/corfu/hotels/location-agios-gordios/sebastians-family/
"Roza Studios in Benitses, Corfu",39.546078512850954,19.910796582698822,"Corfu, Benitses",,https://www.greeka.com/ionian/corfu/hotels/location-benitses/roza/
"Saint Spiridon Rooms in Kasiopi, Corfu",39.78308797550717,19.924418181180954,"Corfu, Kasiopi",,https://www.greeka.com/ionian/corfu/hotels/location-kasiopi/saint-spiridon/
"San Marina Hotel in Kavos, Corfu",39.385728,20.114765,"Corfu, Kavos",3,https://www.greeka.com/ionian/corfu/hotels/location-kavos/san-marina/
"Villa Kerkyra Villas in Gouvia, Corfu",39.6494,19.81832,"Corfu, Gouvia",,https://www.greeka.com/ionian/corfu/hotels/location-gouvia/villa-kerkyra/
"Semeli Hotel in Roda, Corfu",39.78817329235979,19.79604296386242,"Corfu, Roda",2,https://www.greeka.com/ionian/corfu/hotels/location-roda/semeli/
"Sugar And Almond Apartments in Agios Stefanos, Corfu",39.75328631058346,19.642930403310856,"Corfu, Agios Stefanos",,https://www.greeka.com/ionian/corfu/hotels/location-agios-stefanos/sugar-and-almond/
"Villa Vozos Villas in Afionas, Corfu",39.74411916791848,19.658976048231125,"Corfu, Afionas",,https://www.greeka.com/ionian/corfu/hotels/location-afionas/villa-vozos/
"Solea Apartments in Kommeno, Corfu",39.66285173200878,19.84356726620103,"Corfu, Kommeno",,https://www.greeka.com/ionian/corfu/hotels/location-kommeno/solea/
"Tassos Hotel in Acharavi, Corfu",39.794221902978876,19.81263041496277,"Corfu, Acharavi",2,https://www.greeka.com/ionian/corfu/hotels/location-acharavi/tassos/
"Yannis Hotel in Ipsos, Corfu",39.700200987256004,19.837260344065726,"Corfu, Ipsos",3,https://www.greeka.com/ionian/corfu/hotels/location-ipsos/yannis/
"The Wave Apartments in Sidari, Corfu",39.78970102971371,19.720153212547302,"Corfu, Sidari",,https://www.greeka.com/ionian/corfu/hotels/location-sidari/the-wave/
"Pyrros Hotel in Kontokali, Corfu",39.644494,19.849913,"Corfu, Kontokali",2,https://www.greeka.com/ionian/corfu/hotels/location-kontokali/pyrros/
"Toni's Apartments in Kavos, Corfu",39.383592,20.116434,"Corfu, Kavos",,https://www.greeka.com/ionian/corfu/hotels/location-kavos/tonis-guesthouse/
"Toulas Apartments in Sidari, Corfu",39.79457657782276,19.70037192106247,"Corfu, Sidari",,https://www.greeka.com/ionian/corfu/hotels/location-sidari/toulas/
"Victoria Hill Hotel in Dassia, Corfu",39.685192694107535,19.836531579330767,"Corfu, Dassia",3,https://www.greeka.com/ionian/corfu/hotels/location-dassia/victoria-hill/
